japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
辨	辨	辨	biàn	わける,わきまえる	ベン,ヘン,ハン	distinguish, discriminate
辨	辩	辯	biàn	わける,わきまえる	ベン,ヘン,ハン	distinguish, discriminate
辮	辫	辮	biàn	あむ	ヘン,ベン	braid; pigtail, plait, queue
遍	遍	遍	biàn	あまねし	ヘン	everywhere, all over, throughout
扁	扁	扁	biǎn	ひらたい	ヘン,ハン,ヒン,ベン,ホン	flat; tablet, signboard
貶	贬	貶	biǎn	おとす,おとしめる	ヘン,ハン,ホン,ホウ,ボウ	decrease, lower; censure, criticize
編	编	編	biān	あむ,とじいと,ふみ	ヘン,ベン	knit, weave; arrange; compile
辺	边	邊	biān	あたり,べ,ほとり	ヘン	edge, margin, side, border
鞭	鞭	鞭	biān	むち,むちうつ	ヘン,ベン	whip; whip; string of firecrackers
表	表	表	biǎo	おもて,あらわす,うわぎ,あらわれる,しるし	ヒョウ	show, express, manifest, display
標	标	標	biāo	こずえ,すえ,しるし,しるす,たてる,しめ	ヒョウ	a mark, symbol, label, sign; standard
彪	彪	彪	biāo	あや	ヒョウ,ヒュウ,ヒュ	tiger; tiger stripes; tiger-like
鏢	镖	鏢	biāo	こじり	ヒョウ	dart, spear, harpoon; escort
別	别	別	bié	わかれる,わける,わかれ,わかち	ベツ,ベチ,ヘツ	separate, other; do not
憋	憋	憋	biē	せつかち	ヘツ,ヘチ	to suppress inner feelings; hasty
殯	殡	殯	bìn	かりもがり	ヒン	encoffin; embalm; funeral
鬢	鬓	鬢	bìn	びん	ヒン,ビン	hair on the temples
賓	宾	賓	bīn	まろうど,したがう,みちびく	ヒン	guest, visitor; surname; submit
彬	彬	彬	bīn	あきらか	ヒン,ハン	cultivated, well-bred
彬	斌	斌	bīn	あきらか	ヒン,ハン	cultivated, well-bred
濱	滨	濱	bīn	はま	ヒン,ホウ	beach, sea coast; river bank
瀕	濒	瀕	bīn	ほとり	ヒン	approach, be on verge of; near
併	并	並	bìng	あわせる,ならぶ,しかし	ヘイ	combine, annex
並	并	並	bìng	なみ,ならべる,ならびに,ならぶ	ヘイ,ビョウ,ホウ,ボウ	equal to; side by side; also, what is more; both
病	病	病	bìng	やむ,やまい,うれえ,うれい	ビョウ,ヘイ	illness, sickness, disease
丙	丙	丙	bǐng	ひのえ	ヘイ,ヒョウ	third; 3rd heavenly stem
柄	柄	柄	bǐng	え,がら,つか	ヘイ,ヒョウ	handle, lever, knob; authority
稟	禀	稟	bǐng	こめぐら,うける	リン,ヒン,ホン	report to, petition
秉	秉	秉	bǐng	とる	ヘイ,ヒョウ,ヒン	grasp, hold; bundle; authority
餅	饼	餅	bǐng	もち	ヘイ,ヒョウ	rice-cakes, biscuits
兵	兵	兵	bīng	つわもの,いくさ	ヘイ,ヒョウ	soldier, troops
氷	冰	冰	bīng	こおり,ひ,こおる	ヒョウ,ギョウ	ice, frost, icicles; cold
伯	伯	伯	bó	おさ,はたがしら,かみ	ハク,ハ,バク	older brother; father's elder brother; senior male 'sire'; feudal rank 'count'
勃	勃	勃	bó	にわかに,おこる	ボツ,ホツ,ボチ	suddenly, sudden, quick
博	博	博	bó	ひろい,ひろめる	ハク,バク	gamble, play games; wide, broad
搏	搏	搏	bó	うつ,とる	ハク,フ,ホ,ブ	seize; spring upon; strike
箔	箔	箔	bó	すだれ	ハク,バク	reed screen; frame for growing silkworms
脖	脖	脖	bó	うなじ	ホツ,ボチ,ボツ	neck
膊	膊	膊	bó	ほじし,あばく,さかい	ハク,レツ,ハイ,レチ,ヘ,フ	shoulders, upper arms
舶	舶	舶	bó	おうぶね,おおぶね	ハク,ビャク	large, ocean-going vessel
駁	驳	駁	bó	まだら,まじる	バク,ハク	varicolored, variegated; mixed; contradict, argue; suddenly
簸	簸	簸	bǒ	ひる,ひ	ハ	winnower
